Title	Assignees	Status
Note: All of the Items have a more detailed description pls. click them to see. (this is not an item)		Todo
Team collaboration (between dev and po)		Todo
Streamline testing proces		Todo
Repository coordination		Todo
Making sure all tasks in a sprint are being finished		Todo
Assist in creating team processes (Sinatra Doctrine)		In Progress
Lifting the collective mood		In Progress
Load balancing inside the dev team		In Progress
Gain Independence from the IP		In Progress
Creating a Template for backlog item suggestions by the IP		Done
Solving dissatisfaction among the team		Done
Focus on IP (and PO relations)		Done
Ensuring that everyone has work to do		Done
Backlog Item creation procedure		Done
Helping Coordinate the team meeting		Done
Helping to set up the first IP meeting		Done
Supporting team in understanding the amos workflow (e.g importance of the team meeting)		Done
Creating Sub-Teams to streamline development		Done
Establishing a continuouse release cycle with the team		Done
Improving time management in the Team meeting		Done
Ensuring a continuous backlog items flow		Done
